,sampling_method,fe_method,pm_algorithm,scoring_method,output
0,smote,pca,xgboost,accuracy,0.6000779379477115
1,smote,lasso,xgboost,accuracy,0.6554539260568953
2,smote,random_forest,xgboost,accuracy,0.6195836968249208
3,smote,xgboost,xgboost,accuracy,0.6151964635243263
4,smote,none,xgboost,accuracy,0.6565316237162603
5,smote,pca,random_forest,accuracy,0.6926615861284164
6,smote,lasso,random_forest,accuracy,0.78055993754168
7,smote,random_forest,random_forest,accuracy,0.7690261474446227
8,smote,xgboost,random_forest,accuracy,0.7728478214125809
9,smote,none,random_forest,accuracy,0.7803153418175119
10,smote,pca,qda,accuracy,0.41079082586740434
11,smote,lasso,qda,accuracy,0.432100744171791
12,smote,random_forest,qda,accuracy,0.4639425765621558
13,smote,xgboost,qda,accuracy,0.45420495799385174
14,smote,none,qda,accuracy,0.33926454303949977
15,smote,pca,lda,accuracy,0.46427122895371253
16,smote,lasso,lda,accuracy,0.5429364241949243
17,smote,random_forest,lda,accuracy,0.45187375267042595
18,smote,xgboost,lda,accuracy,0.4409819987454039
19,smote,none,lda,accuracy,0.5429287803959785
20,smote,pca,knn,accuracy,0.6255302478762659
21,smote,lasso,knn,accuracy,0.7247483478266543
22,smote,random_forest,knn,accuracy,0.7230897459842167
23,smote,xgboost,knn,accuracy,0.7250235079387269
24,smote,none,knn,accuracy,0.7247177682492991
25,smote,pca,logistic_regression,accuracy,0.46518843487727934
26,smote,lasso,logistic_regression,accuracy,0.503435735731612
27,smote,random_forest,logistic_regression,accuracy,0.44812089363242186
28,smote,xgboost,logistic_regression,accuracy,0.4407985697706721
29,smote,none,logistic_regression,accuracy,0.5029312669090534
30,smote,pca,naive_bayes,accuracy,0.4147424052753944
31,smote,lasso,naive_bayes,accuracy,0.406747555340434
32,smote,random_forest,naive_bayes,accuracy,0.4459654726084678
33,smote,xgboost,naive_bayes,accuracy,0.4408444275985647
34,smote,none,naive_bayes,accuracy,0.38468880412844364
35,tomek_links,pca,xgboost,accuracy,0.6887613259016035
36,tomek_links,lasso,xgboost,accuracy,0.6991019722803153
37,tomek_links,random_forest,xgboost,accuracy,0.6947367788536549
38,tomek_links,xgboost,xgboost,accuracy,0.6972771461184328
39,tomek_links,none,xgboost,accuracy,0.6971339710078042
40,tomek_links,pca,random_forest,accuracy,0.6907828712185717
41,tomek_links,lasso,random_forest,accuracy,0.6983148268195813
42,tomek_links,random_forest,random_forest,accuracy,0.6955060672315408
43,tomek_links,xgboost,random_forest,accuracy,0.6962038056597624
44,tomek_links,none,random_forest,accuracy,0.6969909255166497
45,tomek_links,pca,qda,accuracy,0.6612279156820521
46,tomek_links,lasso,qda,accuracy,0.6586875436165529
47,tomek_links,random_forest,qda,accuracy,0.6754330258578048
48,tomek_links,xgboost,qda,accuracy,0.6795477752577547
49,tomek_links,none,qda,accuracy,0.08599900689079527
50,tomek_links,pca,lda,accuracy,0.6909081316376973
51,tomek_links,lasso,lda,accuracy,0.6925719576109115
52,tomek_links,random_forest,lda,accuracy,0.6900136228466964
53,tomek_links,xgboost,lda,accuracy,0.6924109302181559
54,tomek_links,none,lda,accuracy,0.692571956010671
55,tomek_links,pca,knn,accuracy,0.6360204693153099
56,tomek_links,lasso,knn,accuracy,0.6485616222981341
57,tomek_links,random_forest,knn,accuracy,0.6439280733537406
58,tomek_links,xgboost,knn,accuracy,0.6492951116975815
59,tomek_links,none,knn,accuracy,0.6490625471570848
60,tomek_links,pca,logistic_regression,accuracy,0.691033366452976
61,tomek_links,lasso,logistic_regression,accuracy,0.6932338986609349
62,tomek_links,random_forest,logistic_regression,accuracy,0.6899063075236423
63,tomek_links,xgboost,logistic_regression,accuracy,0.6931802281974844
64,tomek_links,none,logistic_regression,accuracy,0.6936453700804008
65,tomek_links,pca,naive_bayes,accuracy,0.6629811966949914
66,tomek_links,lasso,naive_bayes,accuracy,0.6514061440590835
67,tomek_links,random_forest,naive_bayes,accuracy,0.6670424692605817
68,tomek_links,xgboost,naive_bayes,accuracy,0.6731788007830296
69,tomek_links,none,naive_bayes,accuracy,0.09644698779544639
70,smote_tomek_links,pca,xgboost,accuracy,0.6048671434764277
71,smote_tomek_links,lasso,xgboost,accuracy,0.6600986693032455
72,smote_tomek_links,random_forest,xgboost,accuracy,0.6294506311447954
73,smote_tomek_links,xgboost,xgboost,accuracy,0.6180495948070039
74,smote_tomek_links,none,xgboost,accuracy,0.6598043472325331
75,smote_tomek_links,pca,random_forest,accuracy,0.6975780426626692
76,smote_tomek_links,lasso,random_forest,accuracy,0.7815910109837094
77,smote_tomek_links,random_forest,random_forest,accuracy,0.770492031252251
78,smote_tomek_links,xgboost,random_forest,accuracy,0.7738535131622812
79,smote_tomek_links,none,random_forest,accuracy,0.7824507315974778
80,smote_tomek_links,pca,qda,accuracy,0.4174702172913209
81,smote_tomek_links,lasso,qda,accuracy,0.4346413209810597
82,smote_tomek_links,random_forest,qda,accuracy,0.47875856567126585
83,smote_tomek_links,xgboost,qda,accuracy,0.4529745741156139
84,smote_tomek_links,none,qda,accuracy,0.34373523985412235
85,smote_tomek_links,pca,lda,accuracy,0.46339969604087844
86,smote_tomek_links,lasso,lda,accuracy,0.5441751653752264
87,smote_tomek_links,random_forest,lda,accuracy,0.46893759445108396
88,smote_tomek_links,xgboost,lda,accuracy,0.4417593909873383
89,smote_tomek_links,none,lda,accuracy,0.5441674197418505
