,sampling_method,fe_method,pm_algorithm,scoring_method,output
0,smote,pca,xgboost,f1,0.584136448858336
1,smote,lasso,xgboost,f1,0.6463724785211397
2,smote,random_forest,xgboost,f1,0.6167402234784871
3,smote,xgboost,xgboost,f1,0.6128234125241505
4,smote,none,xgboost,f1,0.6463724785211397
5,smote,pca,random_forest,f1,0.6881336200649981
6,smote,lasso,random_forest,f1,0.777895389645124
7,smote,random_forest,random_forest,f1,0.7668107968939218
8,smote,xgboost,random_forest,f1,0.7707671321855213
9,smote,none,random_forest,f1,0.7794770523975435
10,smote,pca,qda,f1,0.33351573983914473
11,smote,lasso,qda,f1,0.2004610261967335
12,smote,random_forest,qda,f1,0.46421286112655513
13,smote,xgboost,qda,f1,0.4486481275616677
14,smote,none,qda,f1,0.18136102424406902
15,smote,pca,lda,f1,0.4439817770763864
16,smote,lasso,lda,f1,0.5321233687887703
17,smote,random_forest,lda,f1,0.4414618457589727
18,smote,xgboost,lda,f1,0.434146943078012
19,smote,none,lda,f1,0.5321115021328444
20,smote,pca,knn,f1,0.6187453538469202
21,smote,lasso,knn,f1,0.6986050576518057
22,smote,random_forest,knn,f1,0.7003338633894237
23,smote,xgboost,knn,f1,0.7027766440927149
24,smote,none,knn,f1,0.6986124039566803
25,smote,pca,logistic_regression,f1,0.442464056705451
26,smote,lasso,logistic_regression,f1,0.49345455333223825
27,smote,random_forest,logistic_regression,f1,0.4382172292878946
28,smote,xgboost,logistic_regression,f1,0.4334895914876702
29,smote,none,logistic_regression,f1,0.49087697152842064
30,smote,pca,naive_bayes,f1,0.34402514165545556
31,smote,lasso,naive_bayes,f1,0.29877098458570095
32,smote,random_forest,naive_bayes,f1,0.446632660324768
33,smote,xgboost,naive_bayes,f1,0.4359299854485331
34,smote,none,naive_bayes,f1,0.2804907238271639
35,tomek_links,pca,xgboost,f1,0.6153294955966747
36,tomek_links,lasso,xgboost,f1,0.6357845453714789
37,tomek_links,random_forest,xgboost,f1,0.6300302545299203
38,tomek_links,xgboost,xgboost,f1,0.6345145876312482
39,tomek_links,none,xgboost,f1,0.6336494622548511
40,tomek_links,pca,random_forest,f1,0.6101869804797893
41,tomek_links,lasso,random_forest,f1,0.6218164594647911
42,tomek_links,random_forest,random_forest,f1,0.6203730774826635
43,tomek_links,xgboost,random_forest,f1,0.6268216963143238
44,tomek_links,none,random_forest,f1,0.6202356035541501
45,tomek_links,pca,qda,f1,0.6112210964985815
46,tomek_links,lasso,qda,f1,0.3911587384882463
47,tomek_links,random_forest,qda,f1,0.6252555360146911
48,tomek_links,xgboost,qda,f1,0.6290343830889853
49,tomek_links,none,qda,f1,0.017890729440533083
50,tomek_links,pca,lda,f1,0.5928191894821548
51,tomek_links,lasso,lda,f1,0.6052149544139143
52,tomek_links,random_forest,lda,f1,0.5966634880882634
53,tomek_links,xgboost,lda,f1,0.6031117189710256
54,tomek_links,none,lda,f1,0.6052837720140767
55,tomek_links,pca,knn,f1,0.6053444457907852
56,tomek_links,lasso,knn,f1,0.6139985597258741
57,tomek_links,random_forest,knn,f1,0.611955431116692
58,tomek_links,xgboost,knn,f1,0.6151516344798498
59,tomek_links,none,knn,f1,0.6141583552409783
60,tomek_links,pca,logistic_regression,f1,0.5954837720824868
61,tomek_links,lasso,logistic_regression,f1,0.605989129736116
62,tomek_links,random_forest,logistic_regression,f1,0.5971044349815262
63,tomek_links,xgboost,logistic_regression,f1,0.6029222544838893
64,tomek_links,none,logistic_regression,f1,0.6062308299792545
65,tomek_links,pca,naive_bayes,f1,0.6022836589045963
66,tomek_links,lasso,naive_bayes,f1,0.500026224711344
67,tomek_links,random_forest,naive_bayes,f1,0.624426194395338
68,tomek_links,xgboost,naive_bayes,f1,0.623164931525779
69,tomek_links,none,naive_bayes,f1,0.040530984451873434
70,smote_tomek_links,pca,xgboost,f1,0.5841932702705089
71,smote_tomek_links,lasso,xgboost,f1,0.6464289403747003
72,smote_tomek_links,random_forest,xgboost,f1,0.6144367593141172
73,smote_tomek_links,xgboost,xgboost,f1,0.6134657718027094
74,smote_tomek_links,none,xgboost,f1,0.6464289403747003
75,smote_tomek_links,pca,random_forest,f1,0.6889553826066366
76,smote_tomek_links,lasso,random_forest,f1,0.7799681306088612
77,smote_tomek_links,random_forest,random_forest,f1,0.7757617274774244
78,smote_tomek_links,xgboost,random_forest,f1,0.7725180704949486
79,smote_tomek_links,none,random_forest,f1,0.7799640649334929
80,smote_tomek_links,pca,qda,f1,0.33358103541593553
81,smote_tomek_links,lasso,qda,f1,0.20451789840075268
82,smote_tomek_links,random_forest,qda,f1,0.4549852580422796
83,smote_tomek_links,xgboost,qda,f1,0.44830579334696674
84,smote_tomek_links,none,qda,f1,0.1820106304675399
85,smote_tomek_links,pca,lda,f1,0.44922272110867423
86,smote_tomek_links,lasso,lda,f1,0.5321870220671464
87,smote_tomek_links,random_forest,lda,f1,0.4301774137497958
88,smote_tomek_links,xgboost,lda,f1,0.4327713075987594
89,smote_tomek_links,none,lda,f1,0.5321819316600623
90,smote_tomek_links,pca,knn,f1,0.6184240917373397
91,smote_tomek_links,lasso,knn,f1,0.6991385408425125
